date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:25	400/400	---MCZ	200	added ('OK')	text/plain	etag:cacheable:d5cda993d12b47b6b293da43aa54fe5e	https://culturedabba.com/robots.txt		(from )
14:42:25	32034/32034	---MCZ	200	added ('OK')	text/html	etag:cacheable:81f2a851075b9960ba8334010c9ed989	https://culturedabba.com/	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/index.html	(from )
14:42:26	2344/2344	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Aug%202019%2017:09:55%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/CD_LOGO_NoText_Transparent_aec99db5-1a20-4bf9-8451-063a530791cc_32x32.png?v=1479695949	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/cd_logo_notext_transparent_aec99db5-1a20-4bf9-8451-063a530791cc_32x320171.png	(from https://culturedabba.com/)
14:42:26	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/font-awesome.min.css	(from https://culturedabba.com/)
14:42:26	100610/100610	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jun%202019%2000:31:38%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/t/10/assets/theme.scss.css?0	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/theme.scsscfcd.css	(from https://culturedabba.com/)
14:42:29	49876/49876	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Nov%202017%2006:04:58%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/t/10/assets/theme.js?0	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/themecfcd.js	(from https://culturedabba.com/)
14:42:30	46930/46930	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2012%20Aug%202019%2014:44:46%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/trekkie.storefront.min97e4.js	(from https://culturedabba.com/)
14:42:30	5975/5975	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	(from https://culturedabba.com/)
14:42:31	77546/77546	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202016%2002:31:57%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/t/10/assets/vendor.js?0	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/vendorcfcd.js	(from https://culturedabba.com/)
14:42:31	392/392	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:14%20GMT	http://cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-99e991855b3d8ddc69e625c68ab0579dd9927b611c2ec4943d396c72e3af0849.js	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/ga_urchin_forms-99e991855b3d8ddc69e625c68ab0579dd9927b611c2ec4943d396c72e3af0849.js	(from https://culturedabba.com/)
14:42:32	31623/31623	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/shopify_pay/storefront-8ddbd55cc19e1ebbff92d676e1481c8e6b42e0c2714d3fdf6b810b1f193347b8.js?v=20190107	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/storefront-8ddbd55cc19e1ebbff92d676e1481c8e6b42e0c2714d3fdf6b810b1f193347b899c2.js	(from https://culturedabba.com/)
14:42:32	37061/37061	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20May%202019%2021:07:19%20GMT	http://cdn.shopify.com/s/assets/storefront/features-ab33d36b855e9ff61cdb2c97afd04a6560935d2acf4c29db19d5acc40ed80b0d.js	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/features-ab33d36b855e9ff61cdb2c97afd04a6560935d2acf4c29db19d5acc40ed80b0d.js	(from https://culturedabba.com/)
14:42:33	31320/31320	---MCZ	200	added ('OK')	text/html	etag:cacheable:c8d49eb24ec0615b208da54561822e51	https://culturedabba.com/collections/all	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/all.html	(from https://culturedabba.com/)
14:42:33	11421/11421	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Aug%202019%2014:27:39%20GMT	http://cdn.shopify.com/s/files/1/1017/1847/files/CDLogo2_100x.png?v=1511726962	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/cdlogo2_100x6f71.png	(from https://culturedabba.com/)
14:42:33	30765/30765	---MCZ	200	added ('OK')	text/html	etag:cacheable:7732d786a1a766ae754419ec9e1ee79b	https://culturedabba.com/blogs/news	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/news.html	(from https://culturedabba.com/)
14:42:34	27533/27533	---MCZ	200	added ('OK')	text/html	etag:cacheable:f57777b827b7d7632dc5d852f920e915	https://culturedabba.com/pages/about-us	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/about-us.html	(from https://culturedabba.com/)
14:42:34	28156/28156	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202019%2019:42:33%20GMT	https://culturedabba.com/account/login	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/login.html	(from https://culturedabba.com/)
14:42:41	85659/85659	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.2.3/jquery.min.js	C:/Users/saura/Downloads/CultureDabba/culturedabba.github.io/CultureDabba/web/images/jquery.min.js	(from https://culturedabba.com/)
